City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
126,Klyuchi,52.2667,79.1667,13.15,92,96,9.46,RU,1733256901
127,Saint Paul Harbor,57.79,-152.4072,44.11,93,100,12.66,US,1733256760
128,Lorengau,-2.0226,147.2712,80.67,82,80,2.39,PG,1733256903
129,Nova Sintra,14.8667,-24.7167,77.54,64,0,13.69,CV,1733256904
130,Utrik,11.2278,169.8474,82.08,79,29,16.13,MH,1733256905
131,Mahibadhoo,3.7833,72.9667,82.87,71,81,10.25,MV,1733256907
132,Hithadhoo,-0.6,73.0833,81.66,79,94,17.16,MV,1733256908
133,Reyes,-14.3167,-67.3833,89.56,70,75,0.0,BO,1733256909
134,Kyren,51.6828,102.1408,16.81,84,100,0.76,RU,1733256910
135,Medina,24.4686,39.6142,72.03,43,0,3.44,SA,1733256911
136,Xàbia,38.7833,0.1667,61.05,85,100,1.01,ES,1733256912
137,Hammerfest,70.6634,23.6821,28.85,54,75,6.91,NO,1733256913
138,Huarmey,-10.0681,-78.1522,73.29,75,29,10.22,PE,1733256914
139,Banamba,13.55,-7.45,75.76,21,52,7.11,ML,1733256794
140,Asheboro,35.7079,-79.8136,40.19,44,0,6.91,US,1733256683
141,Port Lincoln,-34.7333,135.8667,61.12,71,0,9.1,AU,1733256918
142,Leh,34.1667,77.5833,13.32,67,2,4.74,IN,1733256919
143,Crane,31.3974,-102.3501,58.84,49,95,15.23,US,1733256920
144,Ilulissat,69.2167,-51.1,10.42,67,75,3.44,GL,1733256921
145,College,64.8569,-147.8028,3.45,77,75,6.91,US,1733256923
146,Erenhot,43.6475,111.9767,19.13,45,0,9.6,CN,1733256924
147,Poronaysk,49.2167,143.1167,9.64,81,16,6.24,RU,1733256925
148,Kaga-Bandoro,6.9896,19.1874,74.71,28,12,4.16,CF,1733256926
149,Phalodi,27.1333,72.3667,66.2,40,1,8.86,IN,1733256927
150,Mouila,-1.8685,11.0559,74.19,96,100,2.51,GA,1733256928
151,Khārk,29.2614,50.3306,68.76,41,8,7.54,IR,1733256930
152,San Patricio,28.017,-97.5169,69.75,63,100,18.32,US,1733256931
153,Vernon,50.2581,-119.2691,37.44,71,54,5.99,CA,1733256637
154,Itaituba,-4.2761,-55.9836,89.76,66,20,4.61,BR,1733256933
155,São José da Coroa Grande,-8.8978,-35.1478,79.47,75,47,12.62,BR,1733256934
156,Alto Barinas,8.5931,-70.2261,92.41,42,92,9.71,VE,1733256935
